20:38:32.512 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 ULTRA ARZ4 205/50 R16 
20:38:32.512 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 ULTRA ARZ4 205/50 R16 
20:38:32.512 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 ULTRA ARZ4 205/55 R16 
20:38:32.512 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 ULTRA ARZ4 205/55 R16 
20:38:32.512 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 ULTRA ARZ4 205/45 R17 
20:38:32.512 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 ULTRA ARZ4 205/45 R17 
20:38:32.512 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 ULTRA ARZ4 205/50 R17 
20:38:32.512 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 ULTRA ARZ4 205/50 R17 
20:38:32.513 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 ULTRA ARZ4 215/50 R17 
20:38:32.513 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 ULTRA ARZ4 215/50 R17 
20:38:32.513 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 ULTRA ARZ5 215/40 R18 
20:38:32.513 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 ULTRA ARZ5 215/40 R18 
20:38:32.513 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 ULTRA ARZ5 235/50 R18 
20:38:32.513 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 ULTRA ARZ5 235/50 R18 
20:38:32.513 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 ULTRA ARZ5 225/55 R18 
20:38:32.513 [main] INFO  com.sjq.FeilvbinDingdan - 结束处理数据 ULTRA ARZ5 225/55 R18 
20:38:32.513 [main] INFO  com.sjq.FeilvbinDingdan - 开始处理数据 ULTRA ARZ4 235/55 R18 
